Position,TIME,TIME2,FL5-Height,FL5-Area,FL5-Width,FSC1-Height,FSC1-Area,FSC1-Width,SSC2-Height,SSC2-Area,SSC2-Width,FL14-Height,FL14-Area,FL14-Width,FL15-Height,FL15-Area,FL15-Width,FL28-Height,FL28-Area,FL28-Width,FL35-Height,FL35-Area,FL35-Width,FL36-Height,FL36-Area,FL36-Width,Sort Classifier
D 12,1417515956,0,1245264,912027,385875968,1239120750,891889353,637534208,701925844,488787928,343932928,82029132,60709088,369098752,28304492,22665289,394264576,1034544,751188,520093696,727838,201264,142606336,3480978,3677023,914358272,281149439,
D 11,1461167372,0,3499132,2226761,276824064,1430791284,1387192253,486539264,1218732546,868722444,360710144,1758970,1233531,318767104,32863832,36774741,545259520,44427644,45055190,528482304,383104,306180,654311424,1074846,921041,1652555776,280100863,
D 10,1508224899,0,2791484,2317833,905969664,1603434672,1343363951,318767104,854858798,684970197,411041792,1955348,1459787,394264576,8828532,7336815,436207616,5736208,5127291,402653184,2114186,1485488,419430400,3554510,2958349,520093696,279052287,
D 9,1554018127,0,1863572,1847883,1098907648,1499162894,1140385976,301989888,607866624,494083882,427819008,914754,848885,486539264,5957510,5205398,721420288,2717324,3098636,662700032,15159986,12258647,411041792,3617632,2874704,687865856,278003711,
D 8,1600110445,0,1780148,1517952,402653184,1332598676,1207431140,427819008,518154578,408082714,385875968,1443208,1519589,536870912,9732370,8870656,494927872,7108296,7157465,545259520,967136,635068,981467136,1686526,1427574,570425344,276955135,
D 7,1645102171,0,4146488,3026184,327155712,1847548474,1629339440,318767104,1392506810,1172639114,402653184,2348768,2338883,520093696,71023808,86405629,612368384,94630836,117807906,637534208,564772,434429,545259520,1059742,724942,1317011456,275906559,
D 6,1694568923,0,2505286,1986083,1375731712,1524172418,996468854,251658240,620349848,440477979,360710144,28664874,21984509,394264576,10348006,9291282,461373440,1161896,861236,411041792,1296600,809503,603979776,6014384,6111550,528482304,274857983,
D 5,1747170251,0,1665640,1543346,1174405120,1247200296,1033293216,377487360,612163232,509003614,427819008,1197810,877639,360710144,3024426,2579530,377487360,1351276,934151,813694976,1070626,1112986,813694976,3178360,2838712,822083584,273809407,
D 4,1814225306,0,3009908,2144592,352321536,1500340536,1294083837,385875968,755739346,576056031,369098752,1934246,1584015,411041792,19911452,21820485,528482304,27346746,29534985,536870912,7357448,5947731,696254464,2361120,1750389,503316480,272760831,
D 3,1861002690,0,943266,812087,461373440,1038628398,825829458,352321536,620815918,487428175,402653184,70170788,59619581,436207616,31930572,26314088,427819008,1250056,1056897,654311424,977998,808586,780140544,3117744,2955137,704643072,271712255,
D 2,1907037582,0,3733950,2963058,369098752,1990757620,1538538056,301989888,1068325226,805107876,377487360,2464378,1913812,385875968,61340714,59234512,503316480,83891270,87533885,494927872,650300,326895,419430400,822908,488192,578813952,270663679,
D 1,1951685234,0,884296,689869,662700032,932494564,876417396,503316480,734756748,566870956,394264576,3506706,2345766,276824064,4399992,4265716,1082130432,1065470,900207,1367343104,593260,332914,637534208,2432306,1493845,612368384,269615103,
E 1,1992669714,0,1069368,826654,452984832,1486894076,1243835912,352321536,864394766,654560512,377487360,1284496,1038112,394264576,3560548,3759439,1451229184,2586122,1640731,293601280,651370,697325,1283457024,1120338,670416,637534208,336723967,
