Position,TIME,TIME2,FL5-Height,FL5-Area,FL5-Width,FSC1-Height,FSC1-Area,FSC1-Width,SSC2-Height,SSC2-Area,SSC2-Width,FL12-Height,FL12-Area,FL12-Width,FL36-Height,FL36-Area,FL36-Width,Sort Classifier
N 9,2055743250,2,1858604,2064799,620756992,1795097744,2048945136,394264576,697803870,624260611,276824064,56959028,60830918,335544320,35648176,30005614,260046848,949092351,
N 8,2125618901,2,1443412,2223112,1073741824,11226847,143754680,268435456,706262124,628775415,276824064,66967474,72512267,360710144,38886640,39100037,310378496,948043775,
N 7,18049289,3,868518,1043821,411041792,2003472836,150647385,385875968,940603042,771546740,251658240,54541728,54858202,310378496,32207346,29807323,293601280,946995199,
N 6,54850736,3,928940,1410614,939524096,175045479,214343029,251658240,682806980,606019230,276824064,74582602,81327181,352321536,23843778,26027968,343932928,945946623,
N 5,99729499,3,3343090,2040853,159383552,242629335,327031410,260046848,587258684,532856116,285212672,80671440,78433871,310378496,17040626,19904562,385875968,944898047,
N 4,139857275,3,671954,406659,478150656,201881337,111725231,251658240,499755640,437968635,268435456,58023086,56647044,310378496,16744140,17839471,360710144,943849471,
N 3,178427654,3,1180946,632549,167772160,1461498166,1924794720,478150656,764893590,699148621,285212672,82042534,90092893,352321536,26405088,26211049,293601280,942800895,
N 2,214387757,3,914536,1417847,956301312,2103880514,157435851,360710144,547422582,478241411,268435456,86020148,84679791,318767104,30664074,30464291,293601280,941752319,
N 1,252846144,3,855108,725153,620756992,1633304978,2142193926,486539264,466731524,425967229,285212672,58457978,62773127,335544320,26820236,26373777,301989888,940703743,
O 1,290730255,3,1160288,1764902,1098907648,1438753228,1869882334,536870912,489039526,478779974,310378496,57476652,65251670,360710144,37477896,40064640,352321536,1007812607,
O 2,331894433,3,1269366,1771104,1283457024,2066083342,144054219,377487360,537194438,475674029,276824064,86818332,82068864,285212672,18129052,15577860,251658240,1008861183,
O 3,372018539,3,961216,649191,452984832,1675262912,63657142,444596224,524687794,473574854,285212672,66359536,71000039,335544320,45911474,42249317,268435456,1009909759,
O 4,408290722,3,1995780,3049081,327155711,1405459262,1954768502,478150656,505175286,441871134,268435456,62920806,64089036,327155712,25490864,25380294,310378496,1010958335,
O 5,450401286,3,934724,807697,805306368,1758684044,2070596070,385875968,569271708,489311264,260046848,64141936,68108303,335544320,26241426,26380293,327155712,1012006911,
O 6,487199359,3,812474,887425,486539264,2104444156,144860754,352321536,461035926,413927393,285212672,57372820,54818765,310378496,41707076,37876121,293601280,1013055487,
O 7,524617954,3,836992,579846,234881024,566092497,307031991,243269632,490457610,461265313,293601280,73517758,68178437,293601280,23810286,19283223,260046848,1014104063,
O 8,569707992,3,1249848,1267871,754974720,205094913,325306959,276824064,959572992,826410898,268435456,56672282,57384740,318767104,18506776,17294153,285212672,1015152639,
O 9,615232785,3,1245156,1220938,830472192,1655638728,2053967714,444596224,665553068,578376283,268435456,74673734,77243989,327155712,25275894,26232135,352321536,1016201215,
O 10,652710818,3,946904,2678739,285212671,1437235440,1886035849,469762048,400220262,370518447,293601280,47479012,48451934,327155712,18821038,19257549,310378496,1017249791,
O 11,689998815,3,1263260,2881914,1652555776,2137548180,202361354,369098752,450566942,417055351,285212672,69941944,76610504,369098752,22041676,24171134,335544320,1018298367,
O 12,726293520,3,971218,1916565,1140850688,1990513200,167172237,402653184,594209184,542361985,285212672,95671368,100422442,343932928,13974054,14577464,335544320,1019346943,
O 13,772120516,3,1131174,1809244,1275068416,1409130390,2032408130,486539264,627176804,555714951,276824064,67118618,68883146,310378496,23112348,19087806,218103808,1020395519,
O 14,808405458,3,581660,725483,964689920,2060136822,81339472,343932928,401268308,363114038,268435456,71031272,77720189,327155712,19825488,21557037,352321536,1021444095,
O 15,848481183,3,1025582,1972305,1644167168,12012609,204143709,352321536,545679700,478001757,276824064,36984444,35894035,318767104,25150782,24928076,318767104,1022492671,
O 16,890397763,3,1167190,912084,587202560,2109691816,290026729,394264576,594585690,533223333,285212672,61745084,67225352,335544320,10819086,8421196,234881024,1023541247,
O 17,928983014,3,1426606,2157506,1669332992,1638685744,2107703796,469762048,557422898,494080269,276824064,61175378,65899222,343932928,21089196,20911304,293601280,1024589823,
O 18,972280375,3,1263198,2083701,1191182336,1757785060,94517121,452984832,596119990,515115440,268435456,66833012,64435378,293601280,15935944,16829446,352321536,1025638399,
O 19,1013356193,3,849658,1782162,1434451968,2072319582,61685246,318767104,651005712,566345680,276824064,52295622,54076890,327155712,15744774,17000274,377487360,1026686975,
O 20,1059918518,3,1327446,1327468,1275068416,1910092888,2104769619,360710144,544415790,496318201,293601280,83018658,83350846,301989888,29533740,32668860,369098752,1027735551,
O 21,1097257398,3,1862540,2786495,1065353216,1743822364,3479504,436207616,571992744,537787242,293601280,55407924,64323572,377487360,27039772,23801254,234881024,1028784127,
O 22,1133974879,3,607676,655876,679477248,1683349486,1979886680,411041792,605490382,526967199,276824064,60732620,56957154,293601280,20630400,22162802,335544320,1029832703,
O 23,1175265796,3,1002414,1375075,1166016512,2017289940,80901103,369098752,549825166,471310434,268435456,40321640,39536481,327155712,27418834,27047467,293601280,1030881279,
O 24,1224474346,3,1640780,3558697,1719664640,2124706322,153621126,285212672,803904284,755752410,301989888,67788760,67601414,310378496,9608516,8424173,528482304,1031929855,
P 24,1283539652,3,1101760,892083,243269632,1734078316,26343192,444596224,773985590,703990237,293601280,54802868,58871033,369098752,22533844,19881498,293601280,1099038719,
P 24,1288496832,3,892400,928442,822083584,1578935248,2068041324,444596224,613656760,558049484,285212672,67145604,78343863,377487360,31837710,32854044,335544320,1099038719,
P 24,1290007682,3,1451726,1814166,989855744,1901827432,122999049,419430400,548276480,509027090,293601280,45229764,44705739,318767104,29500224,28083007,318767104,1099038719,
P 24,1292306121,3,631430,1069558,1107296256,1784701736,2083649051,411041792,701617168,628837159,276824064,69980036,77450737,352321536,23266232,23483801,343932928,1099038719,
P 24,1294589051,3,932110,1457027,1006632960,2047742400,198227517,385875968,796790810,716305770,285212672,78284226,76229311,293601280,31902794,28632620,276824064,1099038719,
P 24,1296052486,3,1575438,2253942,1216348160,1293799280,1841243832,486539264,606112322,555715343,285212672,57446024,60155714,343932928,28753880,29574163,318767104,1099038719,
P 24,1300143562,3,883860,436552,150994944,142348341,200018151,276824064,969486988,822903643,260046848,63372642,63257467,310378496,32215042,25887959,243269632,1099038719,
P 24,1301807842,3,1014448,425859,142606336,1540538824,2056213186,444596224,594994222,544938043,285212672,56669658,54362013,293601280,18785002,18128518,318767104,1099038719,
P 24,1302395699,3,860618,2062752,58720255,1732828950,2132709793,427819008,550412342,502578977,285212672,65614030,74738498,360710144,34030694,35246252,335544320,1099038719,
P 24,1302413269,3,856564,1085297,830472192,2080563990,27225519,276824064,592244506,516955021,268435456,59457278,65019912,360710144,19928826,21403911,369098752,1099038719,
P 23,1356140277,3,822336,1805770,1551892480,1627498570,14739856,452984832,507914178,450202626,276824064,51650846,55782460,335544320,46538032,50929941,360710144,1097990143,
P 22,1396354899,3,1140444,715077,176160768,176434833,226561907,301989888,577116864,514982187,276824064,44339568,41426196,301989888,16365684,13098385,226492416,1096941567,
P 21,1432364517,3,1257388,1106597,931135488,1733206418,30496103,419430400,691510504,581788116,268435456,35784552,32223398,268435456,23423164,24629236,327155712,1095892991,
P 20,1474032539,3,800504,1045499,763363328,21043807,111623388,310378496,614812940,535551464,268435456,77305276,73435723,276824064,25354426,24977321,310378496,1094844415,
P 19,1515193116,3,1491942,986851,184549376,1731886536,2103245000,536870912,669437420,627282099,293601280,74874648,72840377,301989888,18608600,17645945,301989888,1093795839,
P 18,1560247436,3,2074276,3019427,1744830464,1551960988,1967719777,444596224,589538960,540623435,285212672,51352714,57021176,352321536,19207310,20078549,327155712,1092747263,
P 17,1598405059,3,1009712,1271814,1040187392,1840171166,29003560,419430400,802002144,696267799,268435456,45566908,45885966,310378496,14220336,14007658,285212672,1091698687,
P 16,1634895646,3,503556,635520,713031680,1505020220,1960286261,478150656,437820902,392181594,276824064,60553920,64350537,343932928,19612504,19003099,293601280,1090650111,
P 15,1670606079,3,755998,1229855,847249408,102580411,238866793,335544320,692238396,581083007,268435456,65869556,66005187,310378496,22009142,22108618,327155712,1089601535,
P 14,1711070529,3,1363268,1202766,662700032,1713985338,2025831235,402653184,571341408,499300053,268435456,57236998,60574986,335544320,33028768,31616974,301989888,1088552959,
P 13,1749670361,3,894372,846971,562036736,1953256976,2146764581,335544320,404608480,393127803,310378496,40923232,43754871,352321536,18525048,16932821,268435456,1087504383,
P 12,1786518246,3,1837880,1809933,562036736,1233666824,1836417698,528482304,659254892,588927879,276824064,61601130,73770776,394264576,14875558,13768093,301989888,1086455807,
P 11,1823992768,3,1042566,1560942,1283457024,60734069,220276795,293601280,554685262,494214721,276824064,88184444,91414885,327155712,25086718,24806041,327155712,1085407231,
P 10,1878101725,3,813210,1096422,805306368,1724735194,9292254,419430400,472756208,424766448,276824064,39800190,42639901,343932928,29598232,31741235,352321536,1084358655,
P 9,1915652193,3,727526,548571,276824064,1844854306,37439600,411041792,497699014,446023341,285212672,64358502,66844112,343932928,37142600,36334960,318767104,1083310079,
P 8,1952641148,3,1396702,2572568,1082130432,1566169692,37068628,511705088,870991980,798010225,293601280,83319232,94168885,377487360,9809656,10313107,310378496,1082261503,
P 7,1996336256,3,566226,749587,754974720,1880939078,1858186096,251658240,490567852,440490637,276824064,70287154,71852254,318767104,29702638,30048847,301989888,1081212927,
P 6,2035944282,3,2186154,4314282,1694498816,1986152028,744832071,469762048,1248852174,1672085580,461373440,67714258,84945876,402653184,27256460,25449861,285212672,1080164351,
P 5,2081536884,3,1558766,2667085,1912602624,2016294676,162504657,402653184,540001212,498252991,285212672,58514376,60091819,343932928,19411208,19915618,285212672,1079115775,
P 4,2118284674,3,1135416,1979070,1560281088,2123462856,213560848,369098752,600008208,527152167,268435456,58329832,63322222,352321536,34756540,32751328,285212672,1078067199,
P 3,8404344,3,670608,1168291,1174405120,1742254400,72086391,427819008,410873282,364060269,276824064,35156214,36360454,293601280,36488594,37481267,318767104,1077018623,
P 2,49932088,3,1329734,1582020,947912704,90066395,164898634,293601280,421893200,370191298,268435456,72931082,67964165,285212672,25079454,22528429,293601280,1075970047,
P 1,105816068,3,533254,928859,1350565888,138485687,239939001,335544320,441486438,370204352,260046848,46518502,48807630,327155712,18865946,18923268,310378496,1074921471,
P 1,111707164,3,1694408,1764406,520093696,1892705548,33978765,402653184,503289548,460787095,285212672,79064610,88717930,360710144,23329354,24650754,301989888,1074921471,
P 1,113021795,3,590230,386464,218103808,29983739,253133528,369098752,522608824,443107775,260046848,77241848,77149356,310378496,30815616,28303566,276824064,1074921471,
P 1,113198861,3,1076008,2012363,1635778560,1560385464,76569944,486539264,692066308,598653961,268435456,78857492,77858665,318767104,23683290,25410701,335544320,1074921471,
P 1,113907987,3,786710,1977277,1912602624,1206936256,1776107354,494927872,478140480,442217072,285212672,48509324,53474617,352321536,16666930,18617044,360710144,1074921471,
P 1,113911490,3,427680,226122,159383552,1958565298,2047224436,327155712,276347944,246389063,276824064,50133138,52600446,335544320,22704750,22241434,310378496,1074921471,
P 1,114813135,3,1192290,1315237,931135488,1951045684,229760367,402653184,692639652,598515051,268435456,64477782,64638018,318767104,17150562,17268370,318767104,1074921471,
P 1,120301263,3,882438,1394786,1417674752,1711101468,2138246205,436207616,639234346,590436688,285212672,75221082,84931371,369098752,26725830,29270844,335544320,1074921471,
P 1,128782126,3,1410238,1403609,1015021568,216472939,156244527,234881024,743978688,654555652,276824064,97298118,100065963,318767104,19270316,22546373,360710144,1074921471,
P 1,128865501,3,993250,882956,805306368,243309239,291376526,310378496,589391124,501640061,268435456,69510182,64073087,276824064,38295616,36244554,301989888,1074921471,
