Position,TIME,TIME2,FL5-Height,FL5-Area,FL5-Width,FSC1-Height,FSC1-Area,FSC1-Width,SSC2-Height,SSC2-Area,SSC2-Width,FL12-Height,FL12-Area,FL12-Width,FL36-Height,FL36-Area,FL36-Width,Sort Classifier
B 1,1856762641,0,1538010,2538717,1946157056,2122193024,146174439,352321536,524619126,476815684,285212672,47093390,50035526,327155712,20024098,21944966,335544320,135397375,
C 1,1890446627,0,827752,672070,385875968,1380854260,1988189655,486539264,468659888,424095012,285212672,81731062,82895419,318767104,26200714,26964793,310378496,202506239,
C 2,1928411372,0,1201620,1715885,1409286144,12541317,179058708,352321536,516997874,460954573,285212672,53007274,49235387,285212672,37471454,36685228,310378496,203554815,
C 3,1966288380,0,963730,1249502,1317011456,1818138568,2072070498,385875968,717540682,631964608,285212672,57271038,55942667,285212672,21311094,20792850,310378496,204603391,
C 4,2002277881,0,670824,1541284,1308622848,2039874634,56144056,343932928,447355526,384378290,268435456,57354066,59991524,335544320,17560828,18692489,352321536,205651967,
C 5,2039403043,0,1103704,1785663,1073741824,1827578268,42486899,411041792,417053208,368604481,276824064,69103016,70874579,327155712,25934722,24585847,293601280,206700543,
C 6,2075919476,0,1355136,1820243,1384120320,8509187,179635264,360710144,504527168,444077075,276824064,62277320,65506234,327155712,29595602,24760054,260046848,207749119,
C 7,2113498625,0,796950,1149920,947912704,1961024710,83125881,385875968,401511808,359855910,276824064,36332450,39067931,343932928,14219378,16455587,369098752,208797695,
C 8,8511546,0,963834,1073312,469762048,73301057,59294725,243269632,581743212,550403755,301989888,57353760,65687121,360710144,17548152,19324256,335544320,209846271,
C 9,44103794,0,1030748,993708,528482304,15630067,87104562,243269632,793414056,713207708,285212672,59197342,67499886,369098752,12325002,14334570,385875968,210894847,
C 10,95201129,0,747504,1112437,1023410176,1611846658,1854587229,394264576,603845958,560213780,285212672,55544508,56413662,318767104,13994814,11454793,234881024,211943423,
C 11,132813489,0,1206024,2036491,1526726656,2096015326,109372732,343932928,580663048,504954067,268435456,40635842,42990440,343932928,22800154,24927643,352321536,212991999,
C 12,169709930,0,1872414,1441936,268435456,1838870438,1980489248,587202560,758069784,760372923,327155712,59660750,68965739,385875968,33222022,26959858,226492416,214040575,
C 13,209896534,0,1078174,1773229,989855744,2021271564,2004797735,268435456,623883296,579815676,293601280,61223194,60215728,318767104,38325066,36178012,285212672,215089151,
C 14,247414281,0,976490,1585233,956301312,1881624794,2080436201,268435456,638958974,583648360,285212672,65860418,72837951,352321536,16876732,14997291,268435456,216137727,
C 15,284137378,0,508466,458433,637534208,1840085040,110581505,411041792,509581106,444094507,276824064,45366160,46237182,318767104,22824056,22591687,318767104,217186303,
C 16,321592486,0,600268,748033,671088640,1669429662,93798943,444596224,632075954,552601486,268435456,53625330,51714149,293601280,25226768,26009983,327155712,218234879,
